ATVSTUD_ID,ATVSTUD_FIRSTNAME,ATVSTUD_LASTNAME,ATVSTUD_USERNAME,ATVSTUD_PASSWORD
901181405,June,Barnes,june.barnes32,pantera1
901489163,Daryl,Mitchelle,daryl.mitchelle19,goldie
901554143,Ana,Brooks,ana.brooks75,amstel
901178094,June,Reynolds,june.reynolds27,lookin
901799368,Herminia,Nelson,herminia.nelson62,area51
901912004,Maurice,Franklin,maurice.franklin46,nike
901069382,Armando,Kuhn,armando.kuhn14,francine
901585438,Stanely,Hart,stanley.hart69,meme
901865220,Catherine,Beck,catherine.beck29,wang
901265764,Brett,Sanders,brett.sanders72,kokomo
901455479,Roger,Johnson,roger.johnson70,ramrod
901844227,Josephine,Mitchelle,josephine.mitchelle45,reading
901821072,Christian,Homles,christian.holmes66,slayer
901999943,Alfred,Hill,alfred.hill64,sandrine
901104572,Travis,Roberts,travis.roberts75,twister
901896641,Bobby,Thomas,bobby.thomas51,peace1
901918666,Terry,Russell,terry.russell78,super8
901389190,Brianna,Sullivan,brianna.sullivan53,shooter
901613736,Jean,Miles,jean.miles67,123987
901247322,Aubrey,Wilson,aubrey.wilson79,painter
